periodo,datetime,CO2_ppm,AQI,CO_ppm,SO2_ppm,O3_ppm,NO2_ppm,PM2_5_ugm3,temp_C,hum_pct,Bat_pct
P1,2025-11-09 00:36:07,-0.3923320146531393,1,-0.3901205893266935,-0.499439374390255,0.02359203309274438,0.07098262844456099,-0.37840748040097455,0.3023255813953489,0.7157757496740547,0.9398496240601503
P1,2025-11-09 00:37:08,-0.3774673219869513,1,-0.3901205893266935,-0.499439374390255,-0.02196591933823112,0.024131134484546207,-0.31516306230872154,0.3023255813953489,0.7144719687092568,0.93734335839599
P1,2025-11-09 00:38:09,-0.40204013030746744,1,-0.39089290755043155,-0.499439374390255,0.06914998552372004,0.024131134484546207,-0.4416518984932276,0.3023255813953489,0.7157757496740547,0.9385964912280701
P1,2025-11-09 00:39:11,-0.3931845687191002,1,-0.3924375439979075,-0.499439374390255,0.06914998552372004,0.024131134484546207,-0.37840748040097455,0.3023255813953489,0.7157757496740547,0.9385964912280701
P1,2025-11-09 00:40:11,-0.3672091714513582,2,-0.39089290755043155,-0.499439374390255,-0.02196591933823112,0.024131134484546207,-0.37840748040097455,0.3023255813953489,0.7144719687092568,0.9398496240601503
P1,2025-11-09 00:41:11,-0.3725720115436924,1,-0.38934827110295567,-0.499439374390255,-0.06752387176920663,0.024131134484546207,-0.4416518984932276,0.3023255813953489,0.7144719687092568,0.9411027568922306
P1,2025-11-09 00:42:13,-0.36473401448566545,1,-0.3870313164317417,-0.499439374390255,0.02359203309274438,0.07098262844456099,-0.37840748040097455,0.3023255813953489,0.7144719687092568,0.9411027568922306
P1,2025-11-09 00:43:13,-0.37387834438669687,1,-0.38625899820800375,-0.499439374390255,0.11470793795469554,0.024131134484546207,-0.37840748040097455,0.3023255813953489,0.7157757496740547,0.9398496240601503
P1,2025-11-09 00:44:14,-0.3614338051980751,1,-0.3870313164317417,-0.499439374390255,-0.06752387176920663,0.07098262844456099,-0.31516306230872154,0.3023255813953489,0.7157757496740547,0.9398496240601503
P1,2025-11-09 00:45:16,-0.3722832432310283,1,-0.38625899820800375,-0.499439374390255,0.06914998552372004,0.07098262844456099,-0.4416518984932276,0.3023255813953489,0.7170795306388527,0.9385964912280701
P1,2025-11-09 00:46:18,-0.38201886062941964,1,-0.3839420435367898,-0.499439374390255,-0.02196591933823112,0.024131134484546207,-0.25191864421646853,0.3023255813953489,0.7157757496740547,0.9385964912280701
P1,2025-11-09 00:47:20,-0.37638100309645284,1,-0.38471436176052765,-0.499439374390255,0.02359203309274438,0.024131134484546207,-0.18867422612421547,0.3023255813953489,0.7157757496740547,0.9385964912280701
P1,2025-11-09 00:48:21,-0.37412586008326615,1,-0.3870313164317417,-0.499439374390255,0.11470793795469554,0.11783412240457579,-0.31516306230872154,0.3023255813953489,0.7144719687092568,0.9385964912280701
P1,2025-11-09 00:49:22,-0.3802312472653082,1,-0.38780363465547957,-0.499439374390255,0.06914998552372004,0.024131134484546207,0.0010590281525436121,0.3023255813953489,0.7157757496740547,0.9385964912280701
P1,2025-11-09 00:50:23,-0.37111441910834003,1,-0.3870313164317417,-0.499439374390255,0.06914998552372004,0.024131134484546207,1.0129697176285921,0.3023255813953489,0.7157757496740547,0.9385964912280701
P1,2025-11-09 00:51:25,-0.3623551136241941,2,-0.38316972531305177,-0.499439374390255,0.06914998552372004,0.024131134484546207,2.9735466784884363,0.3023255813953489,0.7157757496740547,0.9385964912280701
P1,2025-11-09 00:52:26,-0.3791586792468414,1,-0.38316972531305177,-0.499439374390255,0.06914998552372004,0.2583886042846201,4.111946204148991,0.3023255813953489,0.7157757496740547,0.9385964912280701
P1,2025-11-09 00:53:27,-0.36916179527984905,1,-0.38316972531305177,-0.499439374390255,0.02359203309274438,0.024131134484546207,5.187101311717292,0.3023255813953489,0.7170795306388527,0.9398496240601503
